Title,Author,Download_Timestamp,Format,ISBN,Identifiers,Languages,Publication_Date,Publisher,Series,Series_Index,Size,Tags,UUID,Comments,USD Sale Price,Page Count,Categories,Width,Thickness,Height,Weight
Fleabag: The Scriptures,Phoebe Waller-Bridge,2023-09-07T16:02:31-08:00,"mobi, pdf",9780593158272,"asin:B07VYS3CPP,barnesnoble:1132922667,google:NEC6DwAAQBAJ,isbn:9780593158272",eng,2019-11-26T00:00:00-08:00,Random House Publishing Group,,1,1303025,"Performing Arts, Television, Genres, Comedy, Drama, Women Authors, Humor, Topic, Celebrity & Popular Culture",7ec2cfda-144f-4878-b9e6-fb3018035062,"Go deeper into the groundbreaking, Golden Globe and Emmy-winning series with this must-have collection—“a completist’s dream of a book, including the show’s full scripts and Waller-Bridge’s commentary” (Vogue). NAMED ONE OF THE BEST BOOKS OF THE YEAR BY EVENING STANDARD “Her coat falls open. She only has her bra on underneath. She pulls out the little sculpture of the woman with no arms. It sits on her lap. Two women. One real. One not. Both with their innate femininity out.” Phoebe Waller-Bridge’s critically acclaimed, utterly unique series Fleabag took the world by storm with its piercing dialogue, ruthlessly dry wit, and deeply human drama. In Fleabag: The Scriptures, Waller-Bridge brings together for the first time the filming scripts of the first and second seasons, complete with the original stage directions as well as exclusive commentary on her creative process and the making of the series. Now recognized as one of today’s most essential voices, she delivers powerful insights into her now-iconic protagonist: the hilarious, emotionally damaged, sexually unapologetic woman who can make viewers laugh, cry, and cringe in a single scene. Essential for any fan, Fleabag: The Scriptures is the ultimate companion to a landmark series.",14.99,432,Script,6.2,1.36,8.77,1.35
Succession - Season Two: The Complete Scripts,Jesse Armstrong,2023-09-07T16:28:34-08:00,"epub, mobi",9780571379750,"barnesnoble:1143351927,isbn:9780571379750,google:-XeUzwEACAAJ,amazon:0571379753",eng,2023-05-17T17:24:03-08:00,Faber & Faber,Succession,2,2486343,,b787f8e6-54ee-42c2-a1b1-7c80df247cf3,"The complete, authorised scripts, including deleted scenes, of the multiple award-winning Succession . 'The best TV show in the world.' The Times 'Just about the best thing I've ever seen on television.' New Statesman 'The best television around.' Guardian ** Winner of thirteen Emmys, five Golden Globes, three BAFTAs and a Grammy. ** With an exclusive introduction from Frank Rich. I wonder if the sad I'd be from being without you might be less than the sad I get from being with you? Kendall Roy is dealing with fallout from his hostile takeover attempt of Waystar Royco and the heavy guilt from a fatal accident. Shiv stands poised to make her way into the upper-echelons of the company, which is causing complications for Tom, which is causing complications for Greg. Meanwhile, Roman is reacquainting himself with the business by starting at the bottom, as Connor prepares to launch an unlikely bid for president. Collected here for the first time, the complete scripts of Succession: Season Two feature unseen extra material, including deleted scenes, alternative dialogue and character directions. They reveal a unique insight into the writing, creation and development of a TV sensation and a screen-writing masterpiece.",21.99,784,Script,12.99,7.48,13.39,2.3
Succession - Season Four: The Complete Scripts,Jesse Armstrong,2023-09-07T16:34:17-08:00,"mobi, pdf",9780571384037,"google:uNy8EAAAQBAJ,mobi-asin:B0C44SBX23,isbn:9780571384037,barnesnoble:1143351929",eng,2023-07-17T23:00:00-08:00,Faber & Faber,Succession,4,3860435,"Performing Arts, Screenplays",25fde7ad-d9f7-4269-bcd4-13fcda0d6877,,21.99,656,Script,6.0,2.0,9.0,2.48
Succession – Season One: The Complete Scripts,Jesse Armstrong,2023-09-07T16:34:45-08:00,"epub, mobi",9780571384006,"google:dj6rEAAAQBAJ,isbn:9780571384006,amazon:B0BTN3JCZC",eng,2023-05-29T17:22:43-08:00,Faber & Faber,Succession,1,3049662,"Performing Arts, Screenplays",30c3e33c-6174-4706-b3f1-75c8c7fdf500,"The complete, authorised scripts, including deleted scenes, of the multiple award-winning Succession.** Winner of thirteen Emmys, five Golden Globes, three BAFTAs and a Grammy. **With an exclusive introduction from creator Jesse Armstrong.'The most thrilling and beautifully obscene TV there is.' Guardian'Extraordinarily entertaining and incisive.' Empire'One of the most relentlessly paced shows on television.' Rolling StoneEverything I've done in my life is for my children.When Logan Roy, the head of one of the world's largest media and entertainment conglomerates, decides to retire, each of his four grown children follows a personal agenda that doesn't always sync with those of their siblings -- or their father.Collected here for the first time, the complete scripts of Succession: Season One feature unseen extra material, including deleted scenes, alternative dialogue and character directions. They reveal a unique insight into the writing, creation and development of a TV sensation and a screen-writing masterpiece.'Monstrous, near-Shakespearean perfection.' New Statesman",21.99,768,Script,12.99,7.48,13.39,2.25
Succession - Season Three: The Complete Scripts,Jesse Armstrong,2023-09-07T16:34:54-08:00,"mobi, pdf",9780571384020,"barnesnoble:1143351930,mobi-asin:B0C26Y815C,amazon:B0C26Y815C,google:c6u4EAAAQBAJ,isbn:9780571384020",eng,2023-05-29T23:00:00-08:00,Faber & Faber,Succession,3,3439257,"Performing Arts, Screenplays",37a91f99-e8c0-4961-83c6-a013275fd5a6,"The complete, authorised scripts, including deleted scenes, of the multiple award-winning Succession . 'The smartest, cruellest, funniest show on television.' Irish Times 'The most thrilling and beautifully obscene TV there is.' Guardian 'Miraculously funny yet mind-blowingly intense.' Empire ** Winner of thirteen Emmys, five Golden Globes, three BAFTAs and a Grammy. ** With an exclusive introduction from Lucy Prebble. 'Love'. You're coming for me with love? In the wake of an ambush by his rebellious son, Kendall, Logan Roy is in a perilous position, scrambling to secure familial, political and financial alliances. A bitter corporate battle threatens to turn into a family civil war. Collected here for the first time, the complete scripts of Succession: Season Three feature unseen extra material, including deleted scenes, alternative dialogue and character directions. They reveal a unique insight into the writing, creation and development of a TV sensation and a screen-writing masterpiece. 'The best TV show in the world.' The Times",21.99,720,Script,12.99,7.48,13.39,2.11
A Court of Thorns and Roses,Sarah J. Maas,2023-09-22T15:50:22-08:00,"epub, mobi",9781619634459,"google:E-kdBQAAQBAJ,goodreads:16096824,barnesnoble:1120160516,isbn:9781619634459,amazon:B00OZP5VRS",eng,2015-05-04T23:00:00-08:00,Bloomsbury USA,A Court of Thorns and Roses,1,2249455,"Fiction, Epic, Contemporary, Fantasy, young adult, Romance",5d492169-2c4b-46a6-bcd5-a248e886c440,"The first instalment of the GLOBAL PHENOMENON and TikTok sensation, from multi-million selling and #1 Sunday Times bestselling author Sarah J. Maas Maas has established herself as a fantasy fiction titan – Time Harry Potter magic, Taylor Swift sass, Fifty Shades-level athleticism – The Sunday Times With bits of Buffy, Game of Thrones and Outlander, this is a glorious series of total joy – Stylist Spiced with slick plotting and atmospheric world-building ... a page-turning delight – Guardian ****** Feyre is a huntress, but when she kills what she thinks is a wolf in the woods, a terrifying creature arrives to demand retribution. Dragged to a treacherous magical land she knows about only from legends, Feyre discovers that her captor, Tamlin, is not truly a beast, but one of the lethal, immortal Fae. And there's more to the Fae than the legends suggest. As Feyre adapts to her new home, her feelings for Tamlin begin to change. Icy hostility turns to fiery passion that burns through every lie she's been told about the beautiful, dangerous world of the Fae. But shadows are creeping in, and Tamlin has a dark secret that he cannot share. Fate brought Feyre to Tamlin for a reason, but saving him from the darkness that threatens his world will lead her down a path that she can never return from. Enter the world of Sarah J. Maas and discover the sweeping romantic fantasy that everyone's talking about for yourself. ****** 5* reader reviews 'This is the first fantasy book I've ever read . . . I'm hooked. I'm addicted' 'I'm a standard romance girl but this swept me off my feet' 'Her writing is exquisite; her characters complex . . . and worlds all-consuming' 'This book has ignited my spark for reading again'",10.99,448,"Fiction, Smut, Fantasy",5.5,1.25,8.25,0.95
Crying in H Mart,Michelle Zauner,2023-09-22T15:50:22-08:00,"epub, mobi",9780593685648,"isbn:9780593685648,barnesnoble:1137397295",eng,2023-03-27T23:00:00-08:00,Knopf Doubleday Publishing Group,,1,5809074,,eef3c079-e82f-4536-a5ec-bdda863a0196,"#1 NEW YORK TIMES BESTSELLER • From the indie rock sensation known as Japanese Breakfast, an unforgettable memoir about family, food, grief, love, and growing up Korean American—“in losing her mother and cooking to bring her back to life, Zauner became herself” (NPR). • CELEBRATING OVER ONE YEAR ON THE NEW YORK TIMES BESTSELLER LIST In this exquisite story of family, food, grief, and endurance, Michelle Zauner proves herself far more than a dazzling singer, songwriter, and guitarist. With humor and heart, she tells of growing up one of the few Asian American kids at her school in Eugene, Oregon; of struggling with her mother's particular, high expectations of her; of a painful adolescence; of treasured months spent in her grandmother's tiny apartment in Seoul, where she and her mother would bond, late at night, over heaping plates of food. As she grew up, moving to the East Coast for college, finding work in the restaurant industry, and performing gigs with her fledgling band--and meeting the man who would become her husband--her Koreanness began to feel ever more distant, even as she found the life she wanted to live. It was her mother's diagnosis of terminal cancer, when Michelle was twenty-five, that forced a reckoning with her identity and brought her to reclaim the gifts of taste, language, and history her mother had given her. Vivacious and plainspoken, lyrical and honest, Zauner's voice is as radiantly alive on the page as it is onstage. Rich with intimate anecdotes that will resonate widely, and complete with family photos, Crying in H Mart is a book to cherish, share, and reread.",10.99,245,"Autobiography, Memoir",5.5,1.05,8.4,0.78
The Last Olympian,Rick Riordan,2023-09-22T15:50:23-08:00,"epub, mobi",9781423101505,"isbn:9781423101505,amazon:1423101502,google:V30anwEACAAJ,barnesnoble:1100260665",eng,2009-05-04T23:00:00-08:00,Disney Hyperion,Percy Jackson and the Olympians,5,434880,"Juvenile Fiction, General, Action & Adventure, Fantasy & Magic",ec902dda-22f1-440c-8cc7-9bbfbd4992ea,"All year the half-bloods have been preparing for battle against the Titans, knowing the odds of victory are grim. Kronos's army is stronger than ever, and with every god and half-blood he recruits, the evil Titan's power only grows. While the Olympians struggle to contain the rampaging monster Typhon, Kronos begins his advance on New York City, where Mount Olympus stands virtually unguarded. Now it's up to Percy Jackson and an army of young demigods to stop the Lord of Time.",6.99,432,"YA, Fiction, Greek Mythology",5.5,1.05,8.4,0.6
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van Der Kolk M. D.,2023-09-22T15:50:23-08:00,"epub, mobi",9781101608302,"google:3Q3UAgAAQBAJ,barnesnoble:1117229987,isbn:9781101608302",eng,2014-09-24T23:00:00-08:00,Penguin,,1,7121138,"Psychology, Psychopathology, Post-Traumatic Stress Disorder (PTSD), Mental Health, Medical, Psychiatry, General",c8bc58b4-dd3d-40d4-9e90-220ee24b5c37,,10.99,464,Self Help,1.1,5.4,8.4,0.9
The Lightning Thief,Rick Riordan,2023-09-22T15:50:23-08:00,"epub, mobi",9781368051477,"amazon:0786838655,google:PiNUyQEACAAJ,isbn:9781368051477,barnesnoble:1100190320",eng,2006-04-01T23:00:00-08:00,Disney Hyperion,Percy Jackson and the Olympians,1,668922,"Juvenile Fiction, Media Tie-In, Action & Adventure, General, Legends; Myths; Fables, Greek & Roman, Fiction - Young Adult",d8ffe632-6b10-40d9-bd7e-db34c02800d3,,6.99,416,"YA, Fiction, Greek Mythology",5.5,1.05,8.4,2.31
The Sea of Monsters,Rick Riordan,2023-09-22T15:50:23-08:00,"epub, mobi",9781423103349,"isbn:9781423103349,google:Y39JAQAAIAAJ,barnesnoble:1100327442",eng,2007-03-19T23:00:00-08:00,Disney-Hyperion,Percy Jackson and the Olympians,2,600595,"Cooking, Courses & Dishes, Confectionery, Juvenile Fiction, Legends; Myths; Fables, General, Social Themes",cbde73fe-531a-4abb-b950-ee6f7f53398e,,6.99,321,"YA, Fiction, Greek Mythology",5.5,1.05,8.4,2.31
The Titan's Curse,Rick Riordan,2023-09-22T15:50:23-08:00,"epub, mobi",9781423101482,"amazon:1423101480,isbn:9781423101482,barnesnoble:1008543852",eng,2008-04-07T23:00:00-08:00,Disney Hyperion,Percy Jackson and the Olympians,3,423705,,9925e7ba-f717-4a0c-bfa2-f190f7b64169,"When the goddess Artemis goes missing, she is believed to have been kidnapped. And now it's up to Percy and his friends to find out what happened. Who is powerful enough to kidnap a goddess?",6.99,352,"YA, Fiction, Greek Mythology",5.5,1.05,8.4,2.31
The Battle of the Labyrinth,Rick Riordan,2023-09-22T15:50:23-08:00,"epub, mobi",9781423101499,"amazon:1423101499,isbn:9781423101499,barnesnoble:1100260664,google:C6HWzwEACAAJ",eng,2009-04-06T23:00:00-08:00,Disney Hyperion,Percy Jackson and the Olympians,4,362455,"Juvenile Fiction, Action & Adventure, General, Horror, Legends; Myths; Fables",89631e87-ca59-416a-a005-aed32aab648c,"Percy Jackson isn't expecting freshman orientation to be any fun. But when a mysterious mortal acquaintance appears on campus, followed by demon cheerleaders, things quickly move from bad to diabolical. In this latest installment of the blockbuster series, time is running out as war between the Olympians and the evil Titan lord Kronos draws near.",6.99,400,"YA, Fiction, Greek Mythology",5.19,0.94,7.54,2.31
Heartstopper Volume 3,Alice Oseman,2023-09-22T16:02:37-08:00,"epub, mobi",9781338617528,"isbn:9781338617528,barnesnoble:1136672455",eng,2021-05-03T23:00:00-08:00,"Scholastic, Inc.",Heartstopper,3,26609212,,f2606063-da63-45cc-8c75-5b1915f6c6d9,"The third volume in the poignant and sweet Heartstopper series, featuring beautiful two-color artwork! Now streaming on Netflix! Charlie didn't think Nick could ever like him back, but now they're officially boyfriends. Nick has even found the courage to come out to his mom.But coming out isn't something that happens just once, and Nick and Charlie try to figure out when to tell their friends that they're dating. Not being out to their classmates gets even harder during a school trip to Paris. As Nick and Charlie's feelings get more serious, they'll need each other more than ever.",9.99,384,"YA, Graphic Novel, Queer",5.9,0.9,8.9,1.2
Heartstopper Volume 4,Alice Oseman,2023-09-22T16:02:37-08:00,"epub, mobi",9781444952797,"isbn:9781444952797,google:qOfODwAAQBAJ,amazon:144495279X",eng,2021-05-05T23:00:00-08:00,Hodder Children's Books,Heartstopper,4,26968777,"Juvenile Fiction, Love & Romance, Social Themes, Depression & Mental Illness, Young Adult Fiction, Romance, Lgbtq, Comics & Graphic Novels, Boys & Men, General",e146ca43-21b8-4cb2-93fe-41d358163d38,"The fourth volume in the wonderfully sweet Heartstopper series, featuring gorgeous two-color artwork. Now streaming on Netflix! Charlie and Nick's relationship has been going really well, and Charlie thinks he's ready to say those three little words: I love you. Nick feels the same way, but he's got a lot on his mind -- especially the thought of coming out to his dad and the fact that Charlie might have an eating disorder. As a new school year begins, Charlie and Nick will have to learn what love really means.",9.99,384,"YA, Graphic Novel, Queer",5.5,1.05,8.4,1.2
Heartstopper Volume 1,Alice Oseman,2023-09-22T16:02:37-08:00,"epub, mobi",9781338617443,"isbn:9781338617443,amazon:1338617443",eng,2020-05-04T23:00:00-08:00,Graphix,Heartstopper,1,18671483,,e16baf03-3813-42f1-bfa7-1c39d32019eb,"*Now a live-action Netflix series!* Boy meets boy. Boys become friends. Boys fall in love. Heartstopper is the bestselling LGBTQ+ graphic novel: this new edition - with a cover including Alice Oseman's artwork and photographs showing characters from the Netflix show - also contains exclusive pages from Alice's original TV scripts. 'Absolutely delightful. Sweet, romantic, kind. Beautifully paced. I loved this book.' RAINBOW ROWELL, author of Carry On Charlie and Nick are at the same school, but they've never met ... until one day when they're made to sit together. They quickly become friends, and soon Charlie is falling hard for Nick, even though he doesn't think he has a chance. But love works in surprising ways, and Nick is more interested in Charlie than either of them realised. By Alice Oseman, winner of the YA Book Prize, Heartstopper is about love, friendship, loyalty and mental illness. It encompasses all the small moments of Nick and Charlie's lives that together make up something larger, which speaks to all of us. 'The queer graphic novel we wished we had at high school.' Gay Times This is the TV tie-in edition of the first volume of Heartstopper. Heartstopper was Children's #1 bestseller in the TCM chart on 23 April 2022.",10.99,288,"YA, Graphic Novel, Queer",6.4,1.2,9.0,2.31
Heartstopper Volume 2,Alice Oseman,2023-09-22T16:10:58-08:00,"epub, mobi",9781444951400,"isbn:9781444951400,amazon:1444951408",eng,2019-07-10T23:00:00-08:00,Hodder Children's Books,Heartstopper,2,22705291,,34ae931b-c4da-4497-ad8c-5d73a6fbdd65,"*Now an acclaimed live-action Netflix series!* Boy meets boy. Boys become friends. Boys fall in love. An LGBTQ+ graphic novel about life, love, and everything that happens in between: this is the second volume of the bestselling HEARTSTOPPER series. *Includes exclusive Tara/Darcy story!* 'Absolutely delightful. Sweet, romantic, kind. Beautifully paced. I loved this book.' RAINBOW ROWELL, author of Carry On Nick and Charlie are best friends. Nick knows Charlie's gay, and Charlie is sure that Nick isn't. But love works in surprising ways, and Nick is discovering all kinds of things about his friends, his family ... and himself. By Alice Oseman, winner of the YA Book Prize, Heartstopper is about friendship, loyalty and mental illness. It encompasses all the small moments of Nick and Charlie's lives that together make up something larger, which speaks to all of us. 'The queer graphic novel we wished we had at high school.' Gay Times Heartstopper Volume 2 was Children's #3 bestseller in the TCM chart on 15 August 2023",10.99,320,"YA, Graphic Novel, Queer",5.5,1.05,8.4,1
Electric Idol,Katee Robert,2023-09-22T16:13:42-08:00,"epub, mobi",9781728231761,"mobi-asin:424d9f10-272e-4682-80f7-6b7f83b94c0f,google:j3BazgEACAAJ,barnesnoble:1138996941,isbn:9781728231761",eng,2022-01-18T00:00:00-08:00,Sourcebooks,Dark Olympus Series,2,547737,"Fiction, Fairy Tales; Folk Tales; Legends & Mythology",f1b1ba85-06a4-453e-8de3-32c7add6218c,,10.99,384,"Greek Mythology, Fiction, Smut",5.5,0.96,8.25,2.31
Radiant Sin,Katee Robert,2023-09-22T16:16:45-08:00,"epub, mobi",9781728257020,"amazon:172825700X,barnesnoble:1141398296,isbn:9781728257020,google:SqhtEAAAQBAJ",eng,2023-02-07T00:00:00-08:00,Sourcebooks,Dark Olympus Series,4,2190149,"Fiction, Romance, Contemporary, Fairy Tales; Folk Tales; Legends & Mythology, Billionaires, New Adult",f0b62dc2-2088-475e-8f3d-f0738a41b571,"There's nowhere more dangerous than Olympus...and no one more captivating than its golden god: Apollo. Keeper of secrets, master of his shining realm...and the only man I am powerless to deny. *A scorchingly hot modern retelling of Apollo and Cassandra.* As a disgraced member of a fallen house, Cassandra Gataki has seen firsthand what comes from trusting the venomous Thirteen. But when the maddeningly gorgeous and kind Apollo asks her to go undercover as his plus-one at a week-long party hosted by a dangerous new power player...Cassandra reluctantly agrees to have his back. On one condition: when it's all over, and Apollo has the ammunition he needs to protect Olympus, she and her sister will be allowed to leave. For good. Apollo may be the city's official spymaster, but it's his ability to inspire others that keeps him at the top. Despite what the rest of Olympus says, there's no one he trusts more than Cassandra. Yet even as their fake relationship takes a wicked turn for the scaldingly hot, a very real danger surfaces... threatening not only Cassandra and Apollo, but the very heart of Olympus itself. ""Deliciously inventive...Red-hot.""—Publishers Weekly STARRED Review for Neon Gods ""I get shivers just thinking of their interactions. SHIVERS.""—Mimi Koehler for The Nerd Daily for Neon Gods The World of Dark Olympus: Neon Gods (Hades & Persephone) Electric Idol (Eros & Psyche) Wicked Beauty (Achilles & Patroclus & Helen) Radiant Sin (Apollo & Cassandra)",10.99,368,"Greek Mythology, Fiction, Smut",5.5,1.05,8.4,2.31
Neon Gods,Katee Robert,2023-09-22T16:18:39-08:00,"epub, mobi",9781728231730,"isbn:9781728231730,google:G0HBzQEACAAJ,barnesnoble:1137510761",eng,2021-05-31T23:00:00-08:00,Sourcebooks,Dark Olympus Series,1,1690687,"Fiction, Fairy Tales; Folk Tales; Legends & Mythology, Romance, Contemporary, New Adult, sort4",2aaa4fc5-de39-4c18-b921-cb09ec4ef15a,"He was supposed to be a myth. But from the moment I crossed the River Styx and fell under his dark spell...he was, quite simply, mine. *A scorchingly hot modern retelling of Hades and Persephone that's as sinful as it is sweet.* Society darling Persephone Dimitriou plans to flee the ultra-modern city of Olympus and start over far from the backstabbing politics of the Thirteen Houses. But all that's ripped away when her mother ambushes her with an engagement to Zeus, the dangerous power behind their glittering city's dark facade. With no options left, Persephone flees to the forbidden undercity and makes a devil's bargain with a man she once believed a myth...a man who awakens her to a world she never knew existed. Hades has spent his life in the shadows, and he has no intention of stepping into the light. But when he finds that Persephone can offer a little slice of the revenge he's spent years craving, it's all the excuse he needs to help her--for a price. Yet every breathless night spent tangled together has given Hades a taste for Persephone, and he'll go to war with Olympus itself to keep her close... ""Deliciously inventive...Red-hot.""--Publishers Weekly STARRED ""I get shivers just thinking of their interactions. SHIVERS.""--Mimi Koehler for The Nerd Daily The World of Dark Olympus: Neon Gods (Hades & Persephone) Electric Idol (Eros & Psyche) Wicked Beauty (Achilles & Patroclus & Helen) Radiant Sin (Apollo & Cassandra)",10.99,384,"Greek Mythology, Fiction, Smut",5.5,1.05,8.4,2.31
The Little Prince,Antoine de Saint-Exupery,2023-09-22T16:22:03-08:00,"epub, mobi",9780156012195,"barnesnoble:1100090265,isbn:9780156012195",eng,2000-06-28T23:00:00-08:00,HarperCollins Publishers,Little Prince Series,1,582591,,a8019189-b57a-4ab5-b839-b1fe3d30204f,The story of an airman's discovery in the desert of a small boy from another planet.ther planet._,10.99,96,"YA, Fiction, Classic",8.0,5.0,0.31,0.45
You: A Novel,Caroline Kepnes,2023-09-22T16:24:23-08:00,"epub, mobi",9781476785592,"amazon:1501195433,isbn:9781476785592,google:W4v9yQEACAAJ",eng,2014-09-29T23:00:00-08:00,Atria/Emily Bestler Books,You,1,624293,"Fiction, Psychological, Thrillers, Suspense, Media Tie-In",12f50113-2e22-44b9-b55a-d3521b8e3a78,"When aspiring writer Guinevere Beck strides into the bookstore where Joe works he is instantly smitten. Beck is everything Joe has ever wanted: tough, razor-smart and sexier than his wildest dreams. He'd kill to have her. Soon Beck can't resist her feelings for a guy who seems custom made for her. When a string of macabre incidents tears her world apart there is only one person she can turn to. But there's more to Joe than Beck realises and much more to Beck than her perfect facade. The obsessive relationship quickly spirals into a whirlwind of deadly consequences...",10.99,448,"Fiction, Smut",5.5,1.05,8.4,2.31
Fresh Off the Boat: A Memoir,Eddie Huang,2023-09-22T16:29:51-08:00,"epub, mobi",9780679644897,"google:zPgfvddZN_QC,barnesnoble:1110913296,isbn:9780679644897",eng,2013-01-29T00:00:00-08:00,Random House Publishing Group,,1,2654979,"Biography & Autobiography, Personal Memoirs, Culinary, Social Science, Emigration & Immigration",91e092c0-e667-4793-83c8-59438ef9a2a2,A Taiwanese American rebel restaurateur chronicles his rise to success from his difficult childhood in the American South to his decision to embrace all he had learned about food in his father's restaurants and his mother's kitchen to create his own culinary identity.,10.99,288,"Autobiography, Memoir",5.5,1.05,8.4,0.4
Building Java Programs: A Back to Basics Approach / Edition 5,Stuart Reges & Marty Stepp,2023-09-22T16:48:00-08:00,"epub, mobi",9780135471944,"barnesnoble:1131204000,isbn:9780135471944",eng,2019-03-17T23:00:00-08:00,Pearson Education,,1,13404423,,ed45a859-198c-44bc-8fd1-26056097c624,"Building Java Programs: A Back to Basics Approach, Third Edition, introduces novice programmers to basic constructs and common pitfalls by emphasizing the essentials of procedural programming, problem solving, and algorithmic reasoning. By using objects early to solve interesting problems and defining objects later in the course, Building Java Programs develops programming knowledge for a broad audience. Break through to improved results with MyProgrammingLab® MyProgrammingLab is an online homework, tutorial, and assessment program that truly engages students in learning. It helps students better prepare for class, quizzes, and exams-resulting in better performance in the course-and provides educators a dynamic set of tools for gauging individual and class progress. And, MyProgrammingLab comes from Pearson, your partner in providing the best digital learning experiences. MyProgrammingLab for Building Java Programs is a total learning package. Through the power of practice and immediate personalized feedback, MyProgrammingLab helps students fully grasp the logic, semantics, and syntax of programming. Instructors using MyProgrammingLab can manage all assessment needs in one program, and easily assign auto-graded homework. Students have the flexibility to practice and self-assess while receiving feedback and tutorial aids. 013345102X / 9780133451023 Student Value Edition - Building Java Programs, 3/e + MyProgrammingLab with Pearson eText Package consists of: 0133375277 / 9780133375275 Building Java Programs, Student Value Edition 0133379787 / 9780133379785 MyProgrammingLab with Pearson eText -- Access Card -- for Building Java Programs Note: MyProgrammingLab is not a self-paced technology and should only be purchased when required by an instructor.",205.89,1232,"Technology, Textbook",7.45,1.6,9.1,3.5
Loveless,Alice Oseman,2023-09-22T16:48:00-08:00,"epub, mobi",9781338751956,"google:R4IJEAAAQBAJ,isbn:9781338751956,barnesnoble:1138285683",eng,2022-03-01T00:00:00-08:00,Scholastic Inc.,,1,1899263,"Young Adult Fiction, Lgbtq, Social Themes, Emotions & Feelings, Coming of Age",66559eb1-7ebd-4f8a-94d2-e829273a146d,,11.99,432,"YA, Fiction, Queer",6.0,1.5,8.5,2.31
Nick and Charlie,Alice Oseman,2023-09-22T16:48:00-08:00,"epub, mobi",9781338885101,"isbn:9781338885101,ff:o/alice-oseman/nick-and-charlie,barnesnoble:1122088152,goodreads:25793458,google:OeY5zwEACAAJ,amazon:1338885103",eng,2023-01-03T00:00:00-08:00,"Scholastic, Inc.",Heartstopper,0,342934,"Young Adult Fiction, Coming of Age, Lgbtq, People & Places, Europe, Romance, Social Themes, Emotions & Feelings",59f6e89b-dd50-4602-b5f1-410b1017ecc3,"From the mega-bestselling creator of Heartstopper, a must-have novella in which Heartstopper's lead characters, Nick and Charlie, face one of their biggest challenges yet. Absence makes the heart grow fonder... right? Everyone knows that Nick and Charlie love their nearly inseparable life together. But soon Nick will be leaving for university, and Charlie, a year younger, will be left behind. Everyone's asking if they're staying together, which is a stupid question... or at least that's what Nick and Charlie assume at first. As the time to say goodbye gets inevitably closer, both Nick and Charlie start to question whether their love is strong enough to survive being apart. Charlie is sure he's holding Nick back... and Nick can't tell what Charlie's thinking. Things spiral from there. Everyone knows that first loves rarely last forever. What will it take for Nick and Charlie to defy the odds?",10.99,208,"YA, Fiction, Queer",5.75,0.75,8.5,0.6
Operating System Concepts,Abraham Silberschatz & Peter B. Galvin,2023-09-22T16:48:01-08:00,pdf,9781119800361,"amazon:1119800366,isbn:9781119800361",eng,2021-02-09T00:00:00-08:00,Wiley,,1,10883254,,2211a084-accf-44dc-b5f4-fd400934f9e3,,79.99,1095,"Technology, Textbook",6.9,1.5,10.0,3.5
Head First Design Patterns: Building Extensible and Maintainable Object-Oriented Software,Eric Freeman & Elisabeth Robson,2023-09-22T16:48:01-08:00,"epub, mobi",9781492078005,"google:3GqAzQEACAAJ,isbn:9781492078005,barnesnoble:1137066903",eng,2020-12-29T00:00:00-08:00,O'Reilly,,1,121512126,"Computers, Computer Science, Software Development & Engineering, General, Languages, Java",f44e1f3b-7a7f-421f-852b-23318900d4ad,"What will you learn from this book? You know you don't want to reinvent the wheel, so you look to Design Patterns: the lessons learned by those who've faced the same software design problems. With Design Patterns, you get to take advantage of the best practices and experience of others so you can spend your time on something more challenging. Something more fun. This book shows you the patterns that matter, when to use them and why, how to apply them to your own designs, and the object-oriented design principles on which they're based. Join hundreds of thousands of developers who've improved their object-oriented design skills through Head First Design Patterns. What's so special about this book? If you've read a Head First book, you know what to expect: a visually rich format designed for the way your brain works. With Head First Design Patterns, 2E you'll learn design principles and patterns in a way that won't put you to sleep, so you can get out there to solve software design problems and speak the language of patterns with others on your team.",53.33,669,"Technology, Textbook",7.75,1.5,9.0,2.65
